solver,hc_simple,hc_gaussian_1,hc_gaussian_2,hc_simple_cc,sage
graph0546.hcp,.760,.761,.765,5.669,5.550
graph0547.hcp,40.404,46.742,32.452,155.660,*
graph0548.hcp,3.073,3.155,2.840,151.464,*
graph0551.hcp,11.042,11.937,9.592,*,*
graph0552.hcp,18.464,20.315,12.606,153.306,*
graph0554.hcp,13.445,13.856,11.864,*,*
graph0556.hcp,20.655,27.794,28.024,128.231,187.430
graph0557.hcp,68.332,89.761,57.082,172.020,*
graph0558.hcp,1.696,1.690,1.695,6.353,*
graph0559.hcp,66.147,93.609,55.446,187.279,*
graph0560.hcp,76.769,77.888,50.836,*,*
graph0561.hcp,73.060,83.949,53.367,*,*
graph0562.hcp,99.492,103.590,66.268,*,*
graph0563.hcp,1.600,1.743,1.728,*,*
graph0565.hcp,15.002,15.552,11.506,*,*
graph0567.hcp,1.493,1.650,1.561,584.785,*
graph0568.hcp,41.290,50.520,33.814,178.257,*
graph0569.hcp,3.830,3.917,3.460,233.224,*
graph0571.hcp,5.947,6.335,5.221,*,*
graph0572.hcp,47.274,60.714,39.301,168.195,*
graph0576.hcp,61.732,79.014,51.345,167.637,*
graph0577.hcp,.841,.847,.850,6.072,13.570
graph0580.hcp,1.021,1.131,1.087,529.561,*
graph0581.hcp,13.864,17.363,17.425,191.915,*
graph0582.hcp,43.854,49.780,32.225,178.314,*
graph0583.hcp,4.704,4.871,4.147,189.814,*
graph0584.hcp,105.371,114.240,73.291,*,*
graph0585.hcp,86.846,90.211,56.363,*,*
graph0586.hcp,87.501,92.981,67.710,187.027,*
graph0587.hcp,17.408,18.291,14.629,*,*
graph0591.hcp,5.437,4.623,4.002,184.119,*
graph0594.hcp,56.779,64.143,47.861,172.477,*
graph0596.hcp,4.328,4.403,3.848,169.498,*
graph0597.hcp,1.855,1.865,1.865,8.569,22.270
graph0600.hcp,38.496,47.996,32.779,172.129,*
graph0602.hcp,41.450,48.055,48.175,149.185,271.550
graph0603.hcp,11.399,12.015,9.060,*,*
graph0604.hcp,7.843,8.848,6.936,*,*
graph0605.hcp,63.734,69.921,47.640,193.397,*
graph0608.hcp,4.082,4.197,3.400,206.452,*
graph0611.hcp,4.208,4.247,3.833,180.746,*
graph0612.hcp,162.810,179.058,124.395,*,*
graph0613.hcp,92.955,96.052,62.369,*,*
graph0614.hcp,116.427,153.954,92.007,*,*
graph0615.hcp,102.577,105.102,68.801,*,*
graph0617.hcp,88.619,96.312,65.349,166.707,*
graph0619.hcp,9.127,11.831,12.011,184.147,*
graph0620.hcp,1.937,1.938,1.944,7.215,10.860
graph0621.hcp,20.334,23.659,15.973,187.857,*
graph0622.hcp,12.292,11.902,9.861,*,*
graph0623.hcp,2.804,3.001,2.874,*,*
graph0625.hcp,1.195,1.315,1.277,*,*
graph0627.hcp,45.504,58.159,38.459,185.019,*
graph0630.hcp,28.880,32.099,32.509,201.879,*
graph0631.hcp,16.379,20.210,13.572,189.647,*
graph0634.hcp,4.448,4.409,3.888,191.619,*
graph0635.hcp,104.618,113.543,72.473,*,*
graph0636.hcp,38.641,52.165,36.845,188.510,*
graph0637.hcp,.942,.948,.948,6.671,*
graph0638.hcp,4.995,5.217,4.519,190.635,*
graph0639.hcp,106.440,122.771,84.906,196.270,*
graph0640.hcp,1.554,1.747,1.687,*,*
graph0641.hcp,12.588,12.953,10.300,*,*
graph0643.hcp,43.662,47.092,34.026,197.650,*
graph0644.hcp,13.542,14.333,11.005,*,*
graph0645.hcp,12.534,13.345,10.440,*,*
graph0646.hcp,15.826,15.883,11.941,*,*
graph0649.hcp,20.501,23.589,23.392,243.303,*
graph0650.hcp,.994,1.004,1.006,7.271,10.680
graph0652.hcp,32.743,37.954,37.004,219.140,*
graph0653.hcp,97.413,104.228,74.506,*,*
graph0654.hcp,180.664,192.036,120.022,*,*
graph0656.hcp,1.304,1.429,1.472,*,*
graph0658.hcp,18.297,18.502,14.577,*,*
graph0659.hcp,15.991,15.632,11.752,*,*
graph0660.hcp,20.493,22.255,15.811,*,*
graph0661.hcp,37.468,40.288,40.173,232.604,*
graph0665.hcp,2.221,2.219,2.234,8.220,25.630
graph0667.hcp,5.312,5.281,4.536,243.398,*
graph0670.hcp,150.597,163.944,101.235,*,*
graph0672.hcp,5.085,5.121,4.505,226.933,*
